"Year","Location Description","Data Source","Topic Description","Measure Description","Source","Footnote Symbol","Data Value Unit","Data Value","Funding Cycle"
"2016","Alabama","UIC","Funding","Expenditures","Total Per Capita","","$","1.08",""
"2015","Alabama","UIC","Funding","Expenditures","Total Per Capita","","$","0.74",""
"2014","Alabama","UIC","Funding","Expenditures","Total Per Capita","","$","0.68",""
"2013","Alabama","UIC","Funding","Expenditures","Total Per Capita","","$","0.71",""
"2012","Alabama","UIC","Funding","Expenditures","Total Per Capita","","$","1.78",""
"2011","Alabama","UIC","Funding","Expenditures","Total Per Capita","","$","1.88",""
"2016","Alaska","UIC","Funding","Expenditures","Total Per Capita","","$","15.24",""
"2015","Alaska","UIC","Funding","Expenditures","Total Per Capita","","$","15.58",""
"2014","Alaska","UIC","Funding","Expenditures","Total Per Capita","","$","15.72",""
"2013","Alaska","UIC","Funding","Expenditures","Total Per Capita","","$","16.72",""
"2012","Alaska","UIC","Funding","Expenditures","Total Per Capita","","$","16.87",""
"2011","Alaska","UIC","Funding","Expenditures","Total Per Capita","","$","14.92",""
"2016","Arizona","UIC","Funding","Expenditures","Total Per Capita","","$","2.14",""
"2015","Arizona","UIC","Funding","Expenditures","Total Per Capita","","$","2.62",""
"2014","Arizona","UIC","Funding","Expenditures","Total Per Capita","","$","2.17",""
"2013","Arizona","UIC","Funding","Expenditures","Total Per Capita","","$","2.64",""
"2012","Arizona","UIC","Funding","Expenditures","Total Per Capita","","$","3.17",""
"2011","Arizona","UIC","Funding","Expenditures","Total Per Capita","","$","2.99",""
"2016","Arkansas","UIC","Funding","Expenditures","Total Per Capita","","$","4.30",""
"2015","Arkansas","UIC","Funding","Expenditures","Total Per Capita","","$","5.06",""
"2014","Arkansas","UIC","Funding","Expenditures","Total Per Capita","","$","4.99",""
"2013","Arkansas","UIC","Funding","Expenditures","Total Per Capita","","$","4.86",""
"2012","Arkansas","UIC","Funding","Expenditures","Total Per Capita","","$","4.45",""
"2011","Arkansas","UIC","Funding","Expenditures","Total Per Capita","","$","4.58",""
"2016","California","UIC","Funding","Expenditures","Total Per Capita","","$","0.29",""
"2015","California","UIC","Funding","Expenditures","Total Per Capita","","$","1.51",""
"2014","California","UIC","Funding","Expenditures","Total Per Capita","","$","1.68",""
"2011","California","UIC","Funding","Expenditures","Total Per Capita","","$","2.53",""
"2016","Colorado","UIC","Funding","Expenditures","Total Per Capita","","$","4.41",""
"2015","Colorado","UIC","Funding","Expenditures","Total Per Capita","","$","4.84",""
"2014","Colorado","UIC","Funding","Expenditures","Total Per Capita","","$","4.65",""
"2013","Colorado","UIC","Funding","Expenditures","Total Per Capita","","$","4.10",""
"2012","Colorado","UIC","Funding","Expenditures","Total Per Capita","","$","1.48",""
"2011","Colorado","UIC","Funding","Expenditures","Total Per Capita","","$","5.77",""
"2016","Connecticut","UIC","Funding","Expenditures","Total Per Capita","","$","1.05",""
"2015","Connecticut","UIC","Funding","Expenditures","Total Per Capita","","$","1.38",""
"2014","Connecticut","UIC","Funding","Expenditures","Total Per Capita","","$","0.85",""
"2013","Connecticut","UIC","Funding","Expenditures","Total Per Capita","","$","1.11",""
"2012","Connecticut","UIC","Funding","Expenditures","Total Per Capita","","$","1.34",""
"2011","Connecticut","UIC","Funding","Expenditures","Total Per Capita","","$","0.47",""
"2016","Delaware","UIC","Funding","Expenditures","Total Per Capita","","$","7.46",""
"2015","Delaware","UIC","Funding","Expenditures","Total Per Capita","","$","9.35",""
"2014","Delaware","UIC","Funding","Expenditures","Total Per Capita","","$","9.06",""
"2013","Delaware","UIC","Funding","Expenditures","Total Per Capita","","$","9.93",""
"2012","Delaware","UIC","Funding","Expenditures","Total Per Capita","","$","10.00",""
"2011","Delaware","UIC","Funding","Expenditures","Total Per Capita","","$","10.34",""
"2016","District of Columbia","UIC","Funding","Expenditures","Total Per Capita","","$","1.55",""
"2015","District of Columbia","UIC","Funding","Expenditures","Total Per Capita","","$","3.04",""
"2014","District of Columbia","UIC","Funding","Expenditures","Total Per Capita","","$","2.02",""
"2013","District of Columbia","UIC","Funding","Expenditures","Total Per Capita","","$","2.12",""
"2012","District of Columbia","UIC","Funding","Expenditures","Total Per Capita","","$","3.29",""
"2011","District of Columbia","UIC","Funding","Expenditures","Total Per Capita","","$","4.09",""
"2016","Florida","UIC","Funding","Expenditures","Total Per Capita","","$","3.38",""
"2015","Florida","UIC","Funding","Expenditures","Total Per Capita","","$","3.36",""
"2014","Florida","UIC","Funding","Expenditures","Total Per Capita","","$","3.45",""
"2013","Florida","UIC","Funding","Expenditures","Total Per Capita","","$","3.43",""
"2012","Florida","UIC","Funding","Expenditures","Total Per Capita","","$","2.89",""
"2011","Florida","UIC","Funding","Expenditures","Total Per Capita","","$","3.25",""
"2016","Georgia","UIC","Funding","Expenditures","Total Per Capita","","$","0.25",""
"2015","Georgia","UIC","Funding","Expenditures","Total Per Capita","","$","0.20",""
"2014","Georgia","UIC","Funding","Expenditures","Total Per Capita","","$","0.34",""
"2013","Georgia","UIC","Funding","Expenditures","Total Per Capita","","$","0.38",""
"2012","Georgia","UIC","Funding","Expenditures","Total Per Capita","","$","0.50",""
"2011","Georgia","UIC","Funding","Expenditures","Total Per Capita","","$","0.36",""
"2016","Hawaii","UIC","Funding","Expenditures","Total Per Capita","","$","4.57",""
"2015","Hawaii","UIC","Funding","Expenditures","Total Per Capita","","$","4.78",""
"2014","Hawaii","UIC","Funding","Expenditures","Total Per Capita","","$","5.88",""
"2013","Hawaii","UIC","Funding","Expenditures","Total Per Capita","","$","6.32",""
"2012","Hawaii","UIC","Funding","Expenditures","Total Per Capita","","$","6.99",""
"2011","Hawaii","UIC","Funding","Expenditures","Total Per Capita","","$","5.90",""
"2016","Idaho","UIC","Funding","Expenditures","Total Per Capita","","$","3.01",""
"2015","Idaho","UIC","Funding","Expenditures","Total Per Capita","","$","2.94",""
"2014","Idaho","UIC","Funding","Expenditures","Total Per Capita","","$","2.69",""
"2013","Idaho","UIC","Funding","Expenditures","Total Per Capita","","$","2.61",""
"2012","Idaho","UIC","Funding","Expenditures","Total Per Capita","","$","1.24",""
"2011","Idaho","UIC","Funding","Expenditures","Total Per Capita","","$","1.97",""
"2016","Illinois","UIC","Funding","Expenditures","Total Per Capita","","$","1.03",""
"2015","Illinois","UIC","Funding","Expenditures","Total Per Capita","","$","1.00",""
"2014","Illinois","UIC","Funding","Expenditures","Total Per Capita","","$","1.18",""
"2013","Illinois","UIC","Funding","Expenditures","Total Per Capita","","$","1.17",""
"2012","Illinois","UIC","Funding","Expenditures","Total Per Capita","","$","1.27",""
"2011","Illinois","UIC","Funding","Expenditures","Total Per Capita","","$","1.24",""
"2016","Indiana","UIC","Funding","Expenditures","Total Per Capita","","$","1.01",""
"2015","Indiana","UIC","Funding","Expenditures","Total Per Capita","","$","1.20",""
"2014","Indiana","UIC","Funding","Expenditures","Total Per Capita","","$","1.17",""
"2013","Indiana","UIC","Funding","Expenditures","Total Per Capita","","$","1.72",""
"2012","Indiana","UIC","Funding","Expenditures","Total Per Capita","","$","1.63",""
"2011","Indiana","UIC","Funding","Expenditures","Total Per Capita","","$","1.44",""
"2016","Iowa","UIC","Funding","Expenditures","Total Per Capita","","$","1.69",""
"2015","Iowa","UIC","Funding","Expenditures","Total Per Capita","","$","2.29",""
"2014","Iowa","UIC","Funding","Expenditures","Total Per Capita","","$","2.17",""
"2013","Iowa","UIC","Funding","Expenditures","Total Per Capita","","$","1.71",""
"2012","Iowa","UIC","Funding","Expenditures","Total Per Capita","","$","2.19",""
"2011","Iowa","UIC","Funding","Expenditures","Total Per Capita","","$","2.63",""
"2016","Kansas","UIC","Funding","Expenditures","Total Per Capita","","$","1.10",""
"2015","Kansas","UIC","Funding","Expenditures","Total Per Capita","","$","1.19",""
"2014","Kansas","UIC","Funding","Expenditures","Total Per Capita","","$","1.34",""
"2013","Kansas","UIC","Funding","Expenditures","Total Per Capita","","$","1.06",""
"2012","Kansas","UIC","Funding","Expenditures","Total Per Capita","","$","0.94",""
"2011","Kansas","UIC","Funding","Expenditures","Total Per Capita","","$","0.92",""
"2016","Kentucky","UIC","Funding","Expenditures","Total Per Capita","","$","1.08",""
"2015","Kentucky","UIC","Funding","Expenditures","Total Per Capita","","$","1.08",""
"2014","Kentucky","UIC","Funding","Expenditures","Total Per Capita","","$","0.90",""
"2013","Kentucky","UIC","Funding","Expenditures","Total Per Capita","","$","0.96",""
"2012","Kentucky","UIC","Funding","Expenditures","Total Per Capita","","$","1.02",""
"2011","Kentucky","UIC","Funding","Expenditures","Total Per Capita","","$","1.00",""
"2016","Louisiana","UIC","Funding","Expenditures","Total Per Capita","","$","1.88",""
"2015","Louisiana","UIC","Funding","Expenditures","Total Per Capita","","$","1.87",""
"2014","Louisiana","UIC","Funding","Expenditures","Total Per Capita","","$","1.82",""
"2013","Louisiana","UIC","Funding","Expenditures","Total Per Capita","","$","2.02",""
