LocationAbbr,LocationDesc,Year,Intervention Area,Funding Type1,Funding Type2,Amount,Data_Value_Unit,GeoLocation,Source,TopicTypeId,TopicId,MeasureId,SubMeasureID,DisplayOrder
KY,Kentucky,2007,State and Community Interventions,Per Capita,Lower,4.09,$,"KY
(37.645970271, -84.774971048)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA004,04
AZ,Arizona,2007,Administration and Management,Per Capita,Recommended,0.48,$,"AZ
(34.86597028, -111.763811277)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA007,01
MO,Missouri,2007,Surveillance and Evaluation,Total (Millions),Lower,4.4,$,"MO
(38.635790776, -92.566300053)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
DC,District of Columbia,2007,Total Recommended Program Costs,Total (Millions),Upper,13.7,$,"DC
(38.890371385, -77.031961127)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA009,06
GA,Georgia,2007,Surveillance and Evaluation,Per Capita,Upper,1.57,$,"GA
(32.839681093, -83.627580346)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
IN,Indiana,2007,Surveillance and Evaluation,Total (Millions),Lower,4.8,$,"IN
(39.766910452, -86.149960194)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
MI,Michigan,2007,Health Communication Interventions,Total (Millions),Recommended,16.8,$,"MI
(44.661319543001, -84.71439027)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA008,03
AZ,Arizona,2007,Surveillance and Evaluation,Per Capita,Lower,0.72,$,"AZ
(34.86597028, -111.763811277)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
NM,New Mexico,2007,Health Communication Interventions,Per Capita,Recommended,1.33,$,"NM
(34.520880952, -106.240580985)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA008,03
SD,South Dakota,2007,Administration and Management,Total (Millions),Upper,0.7,$,"SD
(44.353130053, -100.373530637)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA007,01
UT,Utah,2007,Administration and Management,Total (Millions),Upper,1.8,$,"UT
(39.360700171, -111.587130635)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA007,01
CO,Colorado,2007,Cessation Interventions,Per Capita,Recommended,3.26,$,"CO
(38.843840757, -106.133610921)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
FL,Florida,2007,Cessation Interventions,Total (Millions),Recommended,68.6,$,"FL
(28.932040377, -81.928960539)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
OR,Oregon,2007,State and Community Interventions,Per Capita,Upper,6.88,$,"OR
(44.567449424, -120.155031326)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA004,04
CT,Connecticut,2007,Surveillance and Evaluation,Total (Millions),Lower,2.6,$,"CT
(41.56266102, -72.649840952)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
VA,Virginia,2007,Total Recommended Program Costs,Per Capita,Lower,8.3,$,"VA
(37.542680674, -78.457890463)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA009,06
AK,Alaska,2007,Cessation Interventions,Total (Millions),Lower,1.5,$,"AK
(64.845079957001, -147.722059036)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
OK,Oklahoma,2007,State and Community Interventions,Per Capita,Recommended,5.38,$,"OK
(35.472031356, -97.521070214)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA004,04
NC,North Carolina,2007,Administration and Management,Total (Millions),Lower,3.2,$,"NC
(35.466220975, -79.159250463)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA007,01
UT,Utah,2007,Surveillance and Evaluation,Total (Millions),Recommended,2.1,$,"UT
(39.360700171, -111.587130635)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
TX,Texas,2007,Cessation Interventions,Total (Millions),Recommended,74.3,$,"TX
(31.827240407, -99.426770206)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
AR,Arkansas,2007,State and Community Interventions,Per Capita,Lower,4.3,$,"AR
(34.748650124, -92.274490743)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA004,04
AR,Arkansas,2007,Surveillance and Evaluation,Total (Millions),Lower,2.2,$,"AR
(34.748650124, -92.274490743)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
DE,Delaware,2007,Health Communication Interventions,Per Capita,Upper,3.9,$,"DE
(39.008830667, -75.577741168)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA008,03
MI,Michigan,2007,Surveillance and Evaluation,Total (Millions),Upper,16.4,$,"MI
(44.661319543001, -84.71439027)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
LA,Louisiana,2007,Total Recommended Program Costs,Total (Millions),Recommended,53.5,$,"LA
(31.312660644, -92.445680071)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA009,06
AR,Arkansas,2007,Cessation Interventions,Total (Millions),Recommended,11.3,$,"AR
(34.748650124, -92.274490743)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
MI,Michigan,2007,State and Community Interventions,Per Capita,Recommended,4.94,$,"MI
(44.661319543001, -84.71439027)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA004,04
NC,North Carolina,2007,State and Community Interventions,Per Capita,Lower,3.82,$,"NC
(35.466220975, -79.159250463)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA004,04
CA,California,2007,Total Recommended Program Costs,Per Capita,Recommended,12.12,$,"CA
(37.638640123, -120.999999538)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA009,06
NV,Nevada,2007,State and Community Interventions,Per Capita,Recommended,5.42,$,"NV
(39.49324039, -117.071840564)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA004,04
ND,North Dakota,2007,Health Communication Interventions,Total (Millions),Lower,0.8,$,"ND
(47.475319779, -100.118421049)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA008,03
OH,Ohio,2007,Surveillance and Evaluation,Per Capita,Lower,0.73,$,"OH
(40.060210141, -82.404260056)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
CT,Connecticut,2007,Total Recommended Program Costs,Total (Millions),Lower,30.2,$,"CT
(41.56266102, -72.649840952)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA009,06
UT,Utah,2007,Health Communication Interventions,Per Capita,Upper,3.9,$,"UT
(39.360700171, -111.587130635)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA008,03
NV,Nevada,2007,Surveillance and Evaluation,Total (Millions),Upper,4.2,$,"NV
(39.49324039, -117.071840564)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA005,05
MN,Minnesota,2007,Cessation Interventions,Total (Millions),Recommended,17,$,"MN
(46.355648736, -94.794200503)",Centers for Disease Control and Prevention. Best Practices for Comprehensive Tobacco Control Programs — 2007.,FND,400FND,402CDT,INTA001,02
