"Year","Location Description","Data Source","Topic Description","Measure Description","Response","Data Value Type","Data Value","Low Confidence Limit","High Confidence Limit","Sample Size","Gender","Age","Race","Education"
"2014-2015","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","<15 Cigarettes","Percentage","66.3","62.4","70.1","657","Overall","All Ages","All Races","All Grades"
"2014-2015","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","<15 Cigarettes","Percentage","58.8","53.0","64.6","349","Male","All Ages","All Races","All Grades"
"2014-2015","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","<15 Cigarettes","Percentage","76.2","71.4","81.0","308","Female","All Ages","All Races","All Grades"
"2014-2015","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories",">25 Cigarettes","Percentage","2.9","1.7","4.0","657","Overall","All Ages","All Races","All Grades"
"2014-2015","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories",">25 Cigarettes","Percentage","3.5","1.8","5.2","349","Male","All Ages","All Races","All Grades"
"2014-2015","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories",">25 Cigarettes","Percentage","1.9","0.5","3.4","308","Female","All Ages","All Races","All Grades"
"2014-2015","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","15 to 25 Cigarettes","Percentage","30.9","27.0","34.7","657","Overall","All Ages","All Races","All Grades"
"2014-2015","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","15 to 25 Cigarettes","Percentage","37.7","31.9","43.4","349","Male","All Ages","All Races","All Grades"
"2014-2015","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","15 to 25 Cigarettes","Percentage","21.9","17.4","26.3","308","Female","All Ages","All Races","All Grades"
"2010-2011","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","<15 Cigarettes","Percentage","64.0","60.6","67.4","931","Overall","All Ages","All Races","All Grades"
"2010-2011","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","<15 Cigarettes","Percentage","60.5","55.9","65.1","507","Male","All Ages","All Races","All Grades"
"2010-2011","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","<15 Cigarettes","Percentage","69.0","64.4","73.6","424","Female","All Ages","All Races","All Grades"
"2010-2011","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories",">25 Cigarettes","Percentage","4.3","3.0","5.6","931","Overall","All Ages","All Races","All Grades"
"2010-2011","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories",">25 Cigarettes","Percentage","5.2","3.2","7.2","507","Male","All Ages","All Races","All Grades"
"2010-2011","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories",">25 Cigarettes","Percentage","3.0","1.5","4.5","424","Female","All Ages","All Races","All Grades"
"2010-2011","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","15 to 25 Cigarettes","Percentage","31.7","28.3","35.1","931","Overall","All Ages","All Races","All Grades"
"2010-2011","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","15 to 25 Cigarettes","Percentage","34.3","29.8","38.8","507","Male","All Ages","All Races","All Grades"
"2010-2011","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","15 to 25 Cigarettes","Percentage","28.0","23.4","32.6","424","Female","All Ages","All Races","All Grades"
"2006-2007   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","<15 Cigarettes","Percentage","56.1","53.1","59.1","1089","Overall","All Ages","All Races","All Grades"
"2006-2007   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","<15 Cigarettes","Percentage","52.4","48.5","56.3","598","Male","All Ages","All Races","All Grades"
"2006-2007   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","<15 Cigarettes","Percentage","61.6","56.9","66.3","491","Female","All Ages","All Races","All Grades"
"2006-2007   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories",">25 Cigarettes","Percentage","5.9","4.5","7.3","1089","Overall","All Ages","All Races","All Grades"
"2006-2007   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories",">25 Cigarettes","Percentage","6.4","4.5","8.3","598","Male","All Ages","All Races","All Grades"
"2006-2007   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories",">25 Cigarettes","Percentage","5.1","3.0","7.2","491","Female","All Ages","All Races","All Grades"
"2006-2007   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","15 to 25 Cigarettes","Percentage","38.1","35.1","41.1","1089","Overall","All Ages","All Races","All Grades"
"2006-2007   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","15 to 25 Cigarettes","Percentage","41.2","37.3","45.1","598","Male","All Ages","All Races","All Grades"
"2006-2007   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","15 to 25 Cigarettes","Percentage","33.3","28.7","37.9","491","Female","All Ages","All Races","All Grades"
"2001-2002   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","<15 Cigarettes","Percentage","49.2","45.9","52.5","1141","Overall","All Ages","All Races","All Grades"
"2001-2002   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","<15 Cigarettes","Percentage","44.8","40.3","49.3","577","Male","All Ages","All Races","All Grades"
"2001-2002   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories","<15 Cigarettes","Percentage","54.3","49.5","59.1","564","Female","All Ages","All Races","All Grades"
"2001-2002   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories",">25 Cigarettes","Percentage","9.6","7.7","11.6","1141","Overall","All Ages","All Races","All Grades"
"2001-2002   ","California","TUS-CPS","Cigarette Consumption (Adults)","Daily Cigarette Consumption Among Every Day Smokers - Frequency Categories",">25 Cigarettes","Percentage","12.2","9.2","15.1","577","Male","All Ages","All Races","All Grades"
